Year,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BIO MEDICAL ENGINEERING (SS),"2,185","4,606","3,299","5,537","12,621","22,764","3,890"
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CIVIL ENGINEERING,"3,937","6,219","11,998","9,441","16,167","28,667",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING (SS),139,227,709,663,"3,330","8,459","9,198"
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",COMPUTER SCIENCE AND ENGINEERING,22,102,318,291,"1,013","1,121",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRONICS AND COMMUNICATION ENGINEERING,180,326,829,773,"3,692","14,390",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRICAL AND ELECTRONICS ENGINEERING,"1,012","1,561","3,348","2,407","8,578","18,228",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ELECTRONICS AND COMMUNICATION ENGINEERING (SS),476,585,"2,299","1,623","6,489",—,"10,795"
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GEO INFORMATICS,"4,669","8,176","9,880","8,842","23,803","19,509",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",INDUSTRIAL ENGINEERING,"6,317","10,419","17,154","14,049","27,211","15,018","47,733"
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",INFORMATION TECHNOLOGY (SS),359,559,"1,182","1,706","5,635","11,014","14,024"
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MATERIAL SCIENCE AND ENGINEERING (SS),"6,271","10,588","14,321","11,249","29,963","33,578",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MECHANICAL ENGINEERING,"2,408","4,554","6,047","7,655","14,245","14,787","49,450"
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MINING ENGINEERING,"8,348","17,005","17,571","20,797","28,214","50,747","95,204"
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MANUFACTURING ENGINEERING,"8,904","13,185","12,435","17,390","24,509","56,585",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PRINTING AND PACKING TECHNOLOGY,"12,098","22,201","12,331","22,874","32,302","81,318",—
2022,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CIVIL ENGINEERING (TAMIL MEDIUM),"19,134","30,510","83,967","39,557","33,512","133,182",—
