Year,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,BIO MEDICAL ENGINEERING (SS),"4,207","7,611","13,213","7,683","14,631","38,252","23,125"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CIVIL ENGINEERING,"3,819","7,589","4,591","5,798","8,261","29,948","29,534"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING (SS),203,404,387,500,"2,792","11,507","3,121"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING,28,140,218,88,840,725,"2,449"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING,206,375,846,590,"1,983","9,197",—
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRICAL AND ELECTRONICS ENGINEERING,"1,281","2,239","3,404","1,822","7,428","16,767","2,341"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,Electronics Engineering (VLSI Design and Technology) (SS),"1,649","2,303","2,859","2,477","8,750","21,598","14,705"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),584,839,—,749,"4,447","16,123",—
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,GEO INFORMATICS,"6,600","14,595","10,807","16,035","34,514","32,007","21,718"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL ENGINEERING,"9,341","15,407","31,399","19,873","29,606","53,469","47,858"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INFORMATION TECHNOLOGY (SS),585,"1,115","1,191",937,"4,910","22,983","10,278"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MATERIAL SCIENCE AND ENGINEERING (SS),"9,298","14,207","12,076","19,201","34,512","52,831",—
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MECHANICAL ENGINEERING,"2,971","4,843","5,714","5,253","15,618","29,938","3,894"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MINING ENGINEERING,"7,194","17,826","23,448","12,218","31,530","55,040",—
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MANUFACTURING ENGINEERING,"14,241","19,307","26,041","25,653","32,437","44,767","33,454"
2025,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,PRINTING & PACKING TECHNOLOGY,"20,039","31,446","30,398","36,235","56,745","102,258",—
