Year,Code,College Name,Branch,OC,BC,BCM,MBC,SC,SCA,ST
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,BIO MEDICAL ENGINEERING (SS),"2,794","5,407","3,745","8,728","13,686","42,751",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CIVIL ENGINEERING,"4,381","7,534","4,847","10,276","15,211","27,632","21,614"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING (SS),170,313,536,489,"2,255","21,395","4,881"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,COMPUTER SCIENCE AND ENGINEERING,32,80,134,138,668,"12,008",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING,93,214,988,765,"2,859","11,536","18,015"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRICAL AND ELECTRONICS ENGINEERING,872,"1,271","2,732","2,275","8,582","23,009","30,910"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),432,583,"1,310","1,377","5,569","7,212","24,413"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,GEO INFORMATICS,"5,965","8,966","8,771","9,983","19,048","50,451","57,993"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL ENGINEERING,"8,513","13,048","12,042","19,299","33,284","73,337",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,INFORMATION TECHNOLOGY (SS),505,678,"1,017","1,011","5,387","24,024","15,638"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MATERIAL SCIENCE AND ENGINEERING (SS),"9,851","16,212","13,680","23,328","30,547","27,969",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MECHANICAL ENGINEERING,"2,279","3,885","6,054","5,386","15,385","35,544",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MINING ENGINEERING,"10,258","16,834","26,855","25,388","31,995","44,098",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MANUFACTURING ENGINEERING,"11,859","19,987","16,413","18,831","40,702","99,127","101,973"
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,PRINTING AND PACKING TECHNOLOGY,"16,436","31,958","27,787","30,484","45,771","110,885",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CIVIL ENGINEERING (TAMIL MEDIUM),"17,936","26,694","47,395","39,836","38,859","54,069",—
2023,1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MECHANICAL ENGINEERING (TAMIL MEDIUM),"18,326","24,333","24,693","35,639","38,724",—,"102,865"
2023,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,APPAREL TECHNOLOGY (SS),"38,543","56,911","49,829","65,843","87,357","139,577","116,255"
2023,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CHEMICAL ENGINEERING,"4,625","7,698","10,471","13,117","22,567","30,709",—
2023,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CHEMICAL ENGINEERING (SS),"8,098","12,175","11,946","15,423","42,115","67,708","89,266"
2023,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CERAMIC TECHNOLOGY (SS),"32,253","54,850","64,886","58,589","76,665","91,536",—
2023,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,FOOD TECHNOLOGY (SS),"8,559","21,464","20,563","25,385","36,419","23,408",—
2023,2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,INDUSTRIAL BIO TECHNOLOGY,"7,130","10,427","11,786","16,928","12,653","64,772",—
